Date,Open,High,Low,Close,Volume
2000-01-04,18688.708984375,20234.212890625,18308.27734375,19259.357421875,197145699
2000-01-05,19021.5859375,19592.234375,18070.5078125,18664.931640625,186396333
2000-01-06,18807.59375,19497.126953125,16406.119140625,17119.427734375,184079807
2000-01-07,18546.046875,18878.923828125,17618.744140625,18070.5078125,256406581
2000-01-10,18783.81640625,19211.802734375,18546.046875,18926.478515625,988218404
2000-01-11,18926.478515625,19021.5859375,17642.521484375,17785.18359375,405010693
2000-01-12,17571.19140625,17571.19140625,16643.888671875,16643.888671875,310301664
2000-01-13,16406.119140625,16857.880859375,15455.0390625,15455.0390625,373023561
2000-01-14,15930.5791015625,16025.6865234375,15264.8232421875,15692.80859375,265682778
2000-01-17,15692.80859375,16120.794921875,15217.26953125,15407.4853515625,338293230
2000-01-18,15407.4853515625,15597.701171875,14361.2978515625,14836.837890625,349263503
2000-01-19,14503.9599609375,14503.9599609375,13861.9814453125,14123.5283203125,413611763
2000-01-20,13885.7578125,15169.7158203125,13885.7578125,14931.9453125,348723906
2000-01-21,14503.9599609375,14741.7294921875,13980.8662109375,14266.1904296875,268486225
2000-01-24,14147.3046875,14717.953125,14028.419921875,14456.40625,159872993
2000-01-25,14503.9599609375,14503.9599609375,13838.2041015625,14028.419921875,152303488
2000-01-26,14242.4130859375,14503.9599609375,14028.419921875,14123.5283203125,129366600
2000-01-27,14171.08203125,14979.4990234375,14171.08203125,14741.7294921875,179291142
2000-01-28,15217.26953125,15359.931640625,14313.744140625,14836.837890625,225990611
2000-01-31,14622.8447265625,15692.80859375,14266.1904296875,15193.4921875,315062676
2000-02-01,15692.80859375,15930.5791015625,14931.9453125,14979.4990234375,612915852
2000-02-02,15217.26953125,15288.6005859375,14741.7294921875,15074.607421875,213793101
2000-02-03,15312.376953125,15312.376953125,14860.6142578125,14931.9453125,187889583
2000-02-04,14931.9453125,14931.9453125,14931.9453125,14931.9453125,0
2000-02-07,14599.0673828125,14931.9453125,14503.9599609375,14599.0673828125,196440395
2000-02-08,14599.0673828125,14741.7294921875,14313.744140625,14361.2978515625,142909319
2000-02-09,14575.291015625,14575.291015625,14171.08203125,14242.4130859375,197411712
2000-02-10,14503.9599609375,14503.9599609375,13267.556640625,13291.333984375,526501610
2000-02-11,13338.8876953125,13362.6650390625,12459.1396484375,12768.240234375,411413208
2000-02-14,12197.5927734375,13077.3408203125,12126.26171875,12792.0166015625,261993391
2000-02-15,12792.0166015625,14194.859375,12792.0166015625,13980.8662109375,270110064
2000-02-16,13980.8662109375,14123.5283203125,12173.8154296875,13695.5419921875,217633054
2000-02-17,13647.98828125,14123.5283203125,12839.5712890625,12863.34765625,189285051
2000-02-18,13077.3408203125,13243.779296875,12197.5927734375,12197.5927734375,235939413
2000-02-21,11936.0458984375,12530.4697265625,11508.0595703125,11817.1611328125,192818825
2000-02-22,11650.7216796875,12268.923828125,11508.0595703125,11840.9375,149788661
2000-02-23,11674.4990234375,13529.103515625,11650.7216796875,13077.3408203125,354767461
2000-02-24,12601.80078125,12839.5712890625,11888.4912109375,11888.4912109375,171666436
2000-02-25,11650.7216796875,12268.923828125,11270.2900390625,11769.6064453125,200935498
2000-02-28,11412.9521484375,11745.830078125,11246.5126953125,11270.2900390625,151648443
2000-02-29,11650.7216796875,11793.3837890625,10961.189453125,11222.736328125,170318599
2000-03-01,11222.736328125,11222.736328125,11222.736328125,11222.736328125,0
2000-03-02,11175.1826171875,11888.4912109375,10509.4267578125,11222.736328125,430023223
2000-03-03,11365.3984375,11626.9453125,10723.419921875,10723.419921875,248284966
2000-03-06,10842.3046875,10842.3046875,10533.203125,10794.75,202606968
2000-03-07,10794.75,10937.412109375,10604.5341796875,10747.1962890625,252586710
2000-03-08,10794.75,11650.7216796875,10699.642578125,11008.7431640625,369976707
2000-03-09,10937.412109375,11198.958984375,9605.9013671875,9605.9013671875,662368614
2000-03-10,10200.326171875,10342.9873046875,10010.1103515625,10271.6572265625,509033561
2000-03-13,10271.6572265625,10366.7646484375,9772.33984375,9796.1171875,243669473
2000-03-14,9701.0087890625,9867.4482421875,9605.9013671875,9677.232421875,185460133
2000-03-15,9534.5703125,10580.7578125,9368.1318359375,10200.326171875,621210744
2000-03-16,10747.1962890625,11722.052734375,10699.642578125,11127.6279296875,787513800
2000-03-17,11127.6279296875,11508.0595703125,10675.865234375,10770.9736328125,454792240
2000-03-20,10747.1962890625,11151.4052734375,10319.2109375,10319.2109375,198689208
2000-03-21,10342.9873046875,10556.98046875,10081.44140625,10366.7646484375,234142402
2000-03-22,10461.873046875,10556.98046875,10247.8798828125,10319.2109375,241383123
2000-03-23,10295.43359375,10461.873046875,9748.5634765625,9867.4482421875,432548038
2000-03-24,10224.1025390625,10224.1025390625,9891.224609375,9962.5556640625,179790574
2000-03-27,9748.5634765625,9986.3330078125,9415.685546875,9558.34765625,217861426
2000-03-28,9558.34765625,9962.5556640625,9558.34765625,9962.5556640625,201392242
2000-03-29,9796.1171875,9867.4482421875,9605.9013671875,9653.455078125,162621134
2000-03-30,9534.5703125,9796.1171875,9273.0234375,9629.6787109375,221716415
2000-03-31,9510.79296875,9748.5634765625,9463.2392578125,9534.5703125,145133003
2000-04-03,9891.224609375,9891.224609375,9510.79296875,9534.5703125,171377817
2000-04-04,9653.455078125,10176.548828125,9629.6787109375,10128.9951171875,255154214
2000-04-05,10128.9951171875,10128.9951171875,10128.9951171875,10128.9951171875,0
2000-04-06,10033.88671875,10033.88671875,9653.455078125,9819.89453125,93406403
2000-04-07,9677.232421875,9986.3330078125,9605.9013671875,9629.6787109375,95489510
2000-04-10,9796.1171875,9796.1171875,9368.1318359375,9724.7861328125,369745811
2000-04-11,9605.9013671875,9843.6708984375,9463.2392578125,9510.79296875,150049627
2000-04-12,9510.79296875,10414.318359375,9510.79296875,9510.79296875,357831874
2000-04-13,9510.79296875,9510.79296875,9510.79296875,9510.79296875,0
2000-04-14,9748.5634765625,10937.412109375,9510.79296875,10937.412109375,823825282
2000-04-17,10200.326171875,11888.4912109375,10128.9951171875,11294.0673828125,722532996
2000-04-18,12982.232421875,12982.232421875,11294.0673828125,11317.84375,644145108
2000-04-19,11127.6279296875,12197.5927734375,10604.5341796875,11080.07421875,851319939
2000-04-20,11080.07421875,11389.1748046875,10485.6494140625,10485.6494140625,280575858
2000-04-21,10556.98046875,10937.412109375,10128.9951171875,10176.548828125,310035651
2000-04-24,9867.4482421875,10224.1025390625,9796.1171875,9986.3330078125,208444756
2000-04-25,9986.3330078125,10200.326171875,9748.5634765625,9748.5634765625,144465446
2000-04-26,9819.89453125,10295.43359375,9558.34765625,9558.34765625,217791190
2000-04-27,9273.0234375,9938.779296875,9273.0234375,9938.779296875,181838563
2000-04-28,9938.779296875,10438.095703125,9701.0087890625,9701.0087890625,215145880
2000-05-01,9701.0087890625,9701.0087890625,9701.0087890625,9701.0087890625,0
2000-05-02,9986.3330078125,9986.3330078125,9320.5771484375,9582.1240234375,283612618
2000-05-03,9368.1318359375,9701.0087890625,9368.1318359375,9463.2392578125,238549500
2000-05-04,9510.79296875,9558.34765625,9296.80078125,9320.5771484375,182995565
2000-05-05,9320.5771484375,9320.5771484375,9320.5771484375,9320.5771484375,0
2000-05-08,9320.5771484375,9344.3544921875,9130.361328125,9154.138671875,184468838
2000-05-09,9154.138671875,9154.138671875,9154.138671875,9154.138671875,0
2000-05-10,8845.0380859375,9796.1171875,8654.822265625,9796.1171875,343217425
2000-05-11,9796.1171875,9796.1171875,9796.1171875,9796.1171875,0
2000-05-12,9510.79296875,9653.455078125,8892.591796875,9320.5771484375,234247756
2000-05-15,9106.5849609375,10652.0888671875,8345.720703125,8440.8291015625,474955752
2000-05-16,8440.8291015625,8702.3759765625,7846.404296875,8084.17431640625,294146229
2000-05-17,8084.17431640625,8226.8359375,6895.3251953125,6895.3251953125,269926799
2000-05-18,6253.3466796875,7228.203125,6229.56982421875,6942.87890625,351027815
2000-05-19,6657.55517578125,6942.87890625,6467.33935546875,6705.109375,177978528
2000-05-22,6419.78564453125,6562.447265625,6182.015625,6182.015625,246116482
2000-05-23,6039.35400390625,7109.31787109375,6039.35400390625,7109.31787109375,241046768
2000-05-24,8155.50537109375,8155.50537109375,8036.6201171875,8155.50537109375,221470483
2000-05-25,9368.1318359375,9368.1318359375,9368.1318359375,9368.1318359375,281200727
2000-05-26,10390.5419921875,10770.9736328125,9035.25390625,10081.44140625,1816413248
2000-05-29,9986.3330078125,11579.390625,9653.455078125,11579.390625,523743375
2000-05-30,11579.390625,11579.390625,11579.390625,11579.390625,0
2000-05-31,12197.5927734375,13933.3125,11983.599609375,12387.80859375,2059954762
2000-06-01,12839.5712890625,13029.787109375,11460.505859375,11817.1611328125,985500334
2000-06-02,12459.1396484375,13576.6572265625,12126.26171875,13576.6572265625,2068488014
2000-06-05,14789.283203125,15597.701171875,14551.513671875,15597.701171875,596399039
2000-06-06,15597.701171875,15597.701171875,15597.701171875,15597.701171875,0
2000-06-07,17832.73828125,17927.845703125,16929.212890625,17927.845703125,461184661
2000-06-08,20614.64453125,20614.64453125,16691.44140625,20543.314453125,6050221684
2000-06-09,17594.966796875,19877.55859375,17476.08203125,17476.08203125,2049280678
2000-06-12,17499.859375,17927.845703125,14860.6142578125,17594.966796875,5527590097
2000-06-13,15930.5791015625,17832.73828125,14955.72265625,14955.72265625,3592107812
2000-06-14,15074.607421875,15455.0390625,13220.0029296875,13220.0029296875,3667308374
2000-06-15,13362.6650390625,14646.6220703125,12839.5712890625,13220.0029296875,3881086439
2000-06-16,13790.650390625,14028.419921875,11270.2900390625,12031.1533203125,2954249665
2000-06-19,11650.7216796875,12364.03125,11080.07421875,11270.2900390625,1799607710
2000-06-20,11698.275390625,12958.4560546875,10747.1962890625,12958.4560546875,2538195834
2000-06-21,13267.556640625,14836.837890625,12221.369140625,12768.240234375,4680102540
2000-06-22,13315.1103515625,13766.873046875,12435.3623046875,12958.4560546875,3234070066
2000-06-23,12744.462890625,13172.44921875,12554.2470703125,12720.6865234375,1450065576
2000-06-26,12601.80078125,13053.5634765625,11983.599609375,12459.1396484375,1301574493
2000-06-27,12601.80078125,14313.744140625,12364.03125,14313.744140625,2707076489
2000-06-28,15264.8232421875,16263.45703125,14361.2978515625,14741.7294921875,4633297612
2000-06-29,15407.4853515625,15621.478515625,14503.9599609375,15455.0390625,1607102528
2000-06-30,15764.1396484375,17761.40625,15359.931640625,17119.427734375,7222033079
2000-07-03,17119.427734375,18355.83203125,16168.3486328125,17428.529296875,4891850176
2000-07-04,16929.212890625,17785.18359375,14979.4990234375,15455.0390625,3139373549
2000-07-05,15787.9169921875,17761.40625,15288.6005859375,17761.40625,6352283762
2000-07-06,18474.716796875,19901.3359375,17880.291015625,18736.263671875,8441525251
2000-07-07,19069.140625,19425.794921875,17927.845703125,18522.26953125,4328705671
2000-07-10,19021.5859375,19116.6953125,18141.837890625,18736.263671875,3466804490
2000-07-11,18807.59375,21541.947265625,18593.6015625,19449.572265625,12046603590
2000-07-12,19402.017578125,19449.572265625,17404.751953125,17785.18359375,4305532946
2000-07-13,16976.765625,18878.923828125,16643.888671875,17927.845703125,5152475858
2000-07-14,17927.845703125,18165.615234375,16857.880859375,16881.658203125,2478199577
2000-07-17,16881.658203125,16881.658203125,16881.658203125,16881.658203125,0
2000-07-18,15978.1328125,16786.55078125,14622.8447265625,15241.0458984375,2536873232
2000-07-19,15978.1328125,16786.55078125,14622.8447265625,15241.0458984375,2536873232
2000-07-20,15906.8017578125,17499.859375,15288.6005859375,16215.90234375,4748747497
2000-07-21,17119.427734375,17262.08984375,16287.2333984375,16453.671875,2981315126
2000-07-24,16311.0107421875,18165.615234375,16311.0107421875,16596.333984375,6352828406
2000-07-25,17119.427734375,17523.63671875,16667.666015625,17095.650390625,2668167326
2000-07-26,17571.19140625,18213.169921875,17285.8671875,17594.966796875,4866669522
2000-07-27,17404.751953125,17452.306640625,16168.3486328125,16168.3486328125,2386730657
2000-07-28,16120.794921875,16738.99609375,15027.0537109375,15716.5859375,1869101072
2000-07-31,15597.701171875,16049.4638671875,15407.4853515625,15835.470703125,1385288224
2000-08-01,16073.240234375,16382.341796875,15740.36328125,15930.5791015625,1995960416
2000-08-02,15930.5791015625,17547.4140625,15716.5859375,16548.78125,4348776447
2000-08-03,17119.427734375,17309.64453125,16168.3486328125,16168.3486328125,2322655981
2000-08-04,15787.9169921875,16406.119140625,15478.81640625,15621.478515625,1758211374
2000-08-07,15621.478515625,15692.80859375,14099.7509765625,14194.859375,1671094456
2000-08-08,14266.1904296875,14789.283203125,13267.556640625,13386.44140625,1922735083
2000-08-09,13695.5419921875,14480.1826171875,13552.880859375,14361.2978515625,2308919903
2000-08-10,14503.9599609375,14622.8447265625,14075.9736328125,14622.8447265625,1861267971
2000-08-11,14551.513671875,15692.80859375,14337.5205078125,14884.3916015625,2575453610
2000-08-14,16406.119140625,16406.119140625,15764.1396484375,16097.017578125,2181091765
2000-08-15,16097.017578125,16097.017578125,16097.017578125,16097.017578125,0
2000-08-16,16097.017578125,16406.119140625,15787.9169921875,16025.6865234375,1162489986
2000-08-17,15906.8017578125,16073.240234375,15431.26171875,15478.81640625,1121563011
2000-08-18,15573.923828125,16073.240234375,15455.0390625,15787.9169921875,1219446959
2000-08-21,15573.923828125,15835.470703125,15431.26171875,15502.5927734375,748185535
2000-08-22,15764.1396484375,15954.35546875,15455.0390625,15692.80859375,1280959178
2000-08-23,16025.6865234375,16144.5712890625,15312.376953125,15359.931640625,1153238917
2000-08-24,15264.8232421875,15478.81640625,14646.6220703125,15003.2763671875,960118855
2000-08-25,14979.4990234375,15098.384765625,14670.3984375,14931.9453125,619885513
2000-08-28,14741.7294921875,15098.384765625,14741.7294921875,14931.9453125,603576989
2000-08-29,15193.4921875,15597.701171875,15074.607421875,15217.26953125,1314228747
2000-08-30,15217.26953125,15264.8232421875,14836.837890625,14836.837890625,455951764
2000-08-31,14741.7294921875,16073.240234375,14099.7509765625,15669.0322265625,2742833338
2000-09-01,15359.931640625,15811.6943359375,14931.9453125,15027.0537109375,1359404789
2000-09-04,14908.1689453125,15264.8232421875,14361.2978515625,14361.2978515625,1023267425
2000-09-05,14361.2978515625,14813.060546875,14361.2978515625,14646.6220703125,732732776
2000-09-06,14741.7294921875,15383.7080078125,14599.0673828125,15098.384765625,1081260905
2000-09-07,15122.1611328125,15883.0244140625,14931.9453125,15550.1474609375,1862038464
2000-09-08,15811.6943359375,17785.18359375,15621.478515625,17309.64453125,5084465759
2000-09-11,17309.64453125,17309.64453125,17309.64453125,17309.64453125,0
2000-09-12,17309.64453125,17309.64453125,17309.64453125,17309.64453125,0
2000-09-13,17309.64453125,17309.64453125,17309.64453125,17309.64453125,0
2000-09-14,17737.62890625,18736.263671875,17499.859375,18189.392578125,5465583493
2000-09-15,18141.837890625,18308.27734375,15740.36328125,16073.240234375,4150631777
2000-09-18,14432.62890625,14694.17578125,13671.765625,13719.3193359375,3571941776
2000-09-19,13457.7724609375,13957.0888671875,12601.80078125,13315.1103515625,2082831402
2000-09-20,13790.650390625,14979.4990234375,13695.5419921875,14979.4990234375,3237473358
2000-09-21,14503.9599609375,14931.9453125,13505.326171875,14028.419921875,3660087735
2000-09-22,14313.744140625,14884.3916015625,14052.197265625,14171.08203125,3104941932
2000-09-25,16215.90234375,16287.2333984375,15478.81640625,16287.2333984375,3404519360
2000-09-26,16643.888671875,17642.521484375,16311.0107421875,16596.333984375,6569884222
2000-09-27,16215.90234375,16596.333984375,15883.0244140625,16073.240234375,3599755123
2000-09-28,16406.119140625,16952.98828125,15787.9169921875,16572.556640625,4347431133
2000-09-29,17571.19140625,17594.966796875,16715.21875,16786.55078125,4136057493
2000-10-02,16358.564453125,16762.7734375,16025.6865234375,16144.5712890625,1910650392
2000-10-03,16144.5712890625,16144.5712890625,16144.5712890625,16144.5712890625,0
2000-10-04,16025.6865234375,16762.7734375,15692.80859375,16620.111328125,2851722677
2000-10-05,16643.888671875,18926.478515625,16620.111328125,18403.384765625,8516078232
2000-10-06,18213.169921875,18427.162109375,17262.08984375,17499.859375,4203184070
2000-10-09,17832.73828125,18141.837890625,17071.873046875,17071.873046875,3846165378
2000-10-10,16762.7734375,17452.306640625,16525.00390625,17071.873046875,2666076754
2000-10-11,16738.99609375,17357.197265625,16406.119140625,16643.888671875,2209683176
2000-10-12,16525.00390625,16857.880859375,15930.5791015625,15930.5791015625,1685425227
2000-10-13,14646.6220703125,15906.8017578125,14289.966796875,15692.80859375,3686287337
2000-10-16,15692.80859375,15692.80859375,15692.80859375,15692.80859375,0
2000-10-17,15550.1474609375,16073.240234375,14266.1904296875,14408.8515625,2010991444
2000-10-18,14408.8515625,15431.26171875,13933.3125,15145.9384765625,3338936292
2000-10-19,15027.0537109375,15526.3701171875,14551.513671875,14789.283203125,1948091328
2000-10-20,15027.0537109375,15431.26171875,13790.650390625,14361.2978515625,2839459872
2000-10-23,14575.291015625,14599.0673828125,12411.5849609375,12554.2470703125,2244697184
2000-10-24,12411.5849609375,13172.44921875,12268.923828125,12934.6787109375,2977648344
2000-10-25,13315.1103515625,14194.859375,13006.009765625,13386.44140625,4046054276
2000-10-26,13172.44921875,13505.326171875,12649.35546875,12910.90234375,2161297202
2000-10-27,12910.90234375,12910.90234375,12910.90234375,12910.90234375,0
2000-10-30,12982.232421875,14884.3916015625,12982.232421875,14147.3046875,6694068184
2000-10-31,13552.880859375,14884.3916015625,12078.7080078125,13529.103515625,6708830675
2000-11-01,13790.650390625,14075.9736328125,12982.232421875,13457.7724609375,3341930364
2000-11-02,13315.1103515625,13885.7578125,13124.89453125,13790.650390625,3009517505
2000-11-03,14266.1904296875,15074.607421875,14099.7509765625,14123.5283203125,4369010300
2000-11-06,13766.873046875,14408.8515625,13766.873046875,13790.650390625,2251516279
2000-11-07,14028.419921875,14075.9736328125,13124.89453125,13220.0029296875,2230215743
2000-11-08,13101.1181640625,14242.4130859375,13006.009765625,13505.326171875,3915237008
2000-11-09,13838.2041015625,14313.744140625,13814.427734375,14075.9736328125,3407320177
2000-11-10,14171.08203125,14242.4130859375,13695.5419921875,13766.873046875,1681610403
2000-11-13,13433.9951171875,13647.98828125,13077.3408203125,13148.671875,1174677507
2000-11-14,13315.1103515625,13719.3193359375,13220.0029296875,13457.7724609375,1538994645
2000-11-15,13695.5419921875,14551.513671875,13600.4345703125,14218.6357421875,2989150645
2000-11-16,14694.17578125,14717.953125,13743.0966796875,13980.8662109375,1745258406
2000-11-17,13743.0966796875,13909.53515625,13600.4345703125,13909.53515625,1281626735
2000-11-20,14028.419921875,14147.3046875,13338.8876953125,13386.44140625,2033900679
2000-11-21,13267.556640625,13267.556640625,12601.80078125,13101.1181640625,1056057750
2000-11-22,12887.125,13029.787109375,12364.03125,12364.03125,893780330
2000-11-23,11508.0595703125,12292.7001953125,11508.0595703125,11745.830078125,1900679090
2000-11-24,11983.599609375,13505.326171875,11888.4912109375,13505.326171875,5472021021
2000-11-27,14028.419921875,14408.8515625,13172.44921875,13267.556640625,3861580390
2000-11-28,13362.6650390625,14075.9736328125,13267.556640625,13338.8876953125,4238582064
2000-11-29,13315.1103515625,13457.7724609375,12768.240234375,12815.7939453125,2348401257
2000-11-30,13291.333984375,13457.7724609375,12459.1396484375,12744.462890625,3685747740
2000-12-01,12150.0380859375,12982.232421875,12150.0380859375,12768.240234375,2586842985
2000-12-04,12887.125,13006.009765625,12126.26171875,12126.26171875,1653051587
2000-12-05,11912.2685546875,12245.146484375,11769.6064453125,12173.8154296875,1571599181
2000-12-06,12601.80078125,12649.35546875,11769.6064453125,11888.4912109375,1768084893
2000-12-07,11555.6142578125,11959.822265625,10485.6494140625,11151.4052734375,1686170696
2000-12-08,11151.4052734375,11484.283203125,10961.189453125,11365.3984375,1741907897
2000-12-11,11222.736328125,12506.693359375,11222.736328125,11698.275390625,3251914634
2000-12-12,11698.275390625,12031.1533203125,11317.84375,11412.9521484375,1756951542
2000-12-13,11412.9521484375,11674.4990234375,11270.2900390625,11460.505859375,1678182088
2000-12-14,11341.62109375,11460.505859375,11080.07421875,11127.6279296875,1252330125
2000-12-15,10984.9658203125,11080.07421875,10770.9736328125,10913.6357421875,969006021
2000-12-18,10699.642578125,11175.1826171875,9344.3544921875,10747.1962890625,5443273998
2000-12-19,10604.5341796875,10699.642578125,9154.138671875,9154.138671875,3857153105
2000-12-20,8797.4833984375,8987.69921875,7798.8505859375,7989.06640625,5494069445
2000-12-21,8036.6201171875,8654.822265625,7989.06640625,8250.61328125,4976520190
2000-12-22,8345.720703125,8464.6064453125,7275.7568359375,7370.86474609375,2762555141
2000-12-25,7370.86474609375,7370.86474609375,7370.86474609375,7370.86474609375,0
2000-12-26,7537.3037109375,8179.2822265625,7537.3037109375,7941.51220703125,1613025693
2000-12-27,7941.51220703125,7941.51220703125,7941.51220703125,7941.51220703125,0
2000-12-28,7941.51220703125,7941.51220703125,7941.51220703125,7941.51220703125,0
2000-12-29,7941.51220703125,7941.51220703125,7941.51220703125,7941.51220703125,0
2001-01-01,7941.51220703125,7941.51220703125,7941.51220703125,7941.51220703125,0
2001-01-02,8583.4912109375,9130.361328125,8559.7138671875,9130.361328125,932215189
